GT,Model_1_0,Model_1_1,Model_2_0,Model_2_1
1,0.1338709677419355,0.8661290322580645,0.26539759338710434,0.7346024066128958
1,0.7074235807860262,0.2925764192139738,0.8949102985358168,0.10508970146418407
1,0.35526315789473684,0.6447368421052632,0.9579914228268053,0.042008577173191966
1,0.6743542435424354,0.32564575645756455,0.060504381701254516,0.9394956182987431
1,0.6743542435424354,0.32564575645756455,0.9911698403907823,0.008830159609218102
1,0.8287167891464104,0.1712832108535896,0.9953397074628587,0.00466029253714123
0,0.8287167891464104,0.1712832108535896,0.9938720942840981,0.006127905715902064
1,0.35526315789473684,0.6447368421052632,0.6452777630264561,0.3547222369735421
0,0.1338709677419355,0.8661290322580645,0.7912455778930179,0.20875442210698
1,0.35526315789473684,0.6447368421052632,0.9224922717853596,0.07750772821463839
1,0.8287167891464104,0.1712832108535896,0.9891857268791087,0.010814273120891435
1,0.4175491679273828,0.5824508320726173,0.9658319650652365,0.03416803493476028
1,0.6197183098591549,0.38028169014084506,0.9924607061509217,0.007539293849076847
1,0.30412371134020616,0.6958762886597938,0.8039178440912349,0.19608215590876435
0,0.4175491679273828,0.5824508320726173,0.9748823133037041,0.02511768669629759
1,0.010067114093959731,0.9899328859060402,1.77837388999043e-06,0.9999982216261113
0,0.8287167891464104,0.1712832108535896,0.9470379059211076,0.05296209407889434
0,0.8287167891464104,0.1712832108535896,0.9952788132662145,0.004721186733782292
1,0.4175491679273828,0.5824508320726173,0.9415981941404097,0.058401805859593495
1,0.010067114093959731,0.9899328859060402,1.9640624483369007e-39,1.0
1,0.6024539877300613,0.39754601226993863,0.9158371796537835,0.08416282034621855
0,0.6743542435424354,0.32564575645756455,0.9903871027902247,0.00961289720977649
0,0.6743542435424354,0.32564575645756455,0.9748424048936205,0.025157595106379056
1,0.6024539877300613,0.39754601226993863,0.7364841303471693,0.26351586965283397
0,0.6743542435424354,0.32564575645756455,0.9880463022705057,0.011953697729492507
0,0.8287167891464104,0.1712832108535896,0.9961245800035531,0.003875419996444129
0,0.4175491679273828,0.5824508320726173,0.9924824836034615,0.0075175163965354
0,0.6743542435424354,0.32564575645756455,0.9911645032275272,0.008835496772473694
1,0.0,1.0,7.219427741540804e-21,1.0
1,0.1338709677419355,0.8661290322580645,0.7162619520025736,0.2837380479974251
1,0.35526315789473684,0.6447368421052632,0.8786452421482932,0.12135475785170846
0,0.8287167891464104,0.1712832108535896,0.9929605294641779,0.007039470535819826
1,0.010067114093959731,0.9899328859060402,2.1292829670671553e-05,0.9999787071703321
0,0.8287167891464104,0.1712832108535896,0.9850476042344853,0.014952395765514815
1,0.07681940700808626,0.9231805929919138,0.8694529204025222,0.13054707959748052
0,0.8287167891464104,0.1712832108535896,0.6382016872608567,0.3617983127391455
0,0.6743542435424354,0.32564575645756455,0.993748873358195,0.00625112664180231
1,0.30412371134020616,0.6958762886597938,0.6530747619237889,0.3469252380762143
0,0.8090909090909091,0.19090909090909092,0.994721388838352,0.005278611161646562
1,0.0,1.0,0.0005818252599004032,0.9994181747400982
0,0.6743542435424354,0.32564575645756455,0.9918777511202752,0.008122248879722233
0,0.4175491679273828,0.5824508320726173,0.991961113417403,0.008038886582599316
1,0.8287167891464104,0.1712832108535896,0.9950992309062001,0.004900769093798799
0,0.9271186440677966,0.07288135593220339,0.8220572847872151,0.17794271521278807
1,0.7074235807860262,0.2925764192139738,0.9357338893652443,0.0642661106347593
0,0.9271186440677966,0.07288135593220339,0.8973900239018864,0.10260997609811515
0,0.6743542435424354,0.32564575645756455,0.9882311253345124,0.011768874665489096
